Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
8,6,7.5,Right-handed,Left leg in first,On your stomach
8,10,7.5,Right-handed,Left leg in first,On your stomach
6,2,8,Right-handed,Left leg in first,On your stomach
6,3,8,Right-handed,Left leg in first,On your stomach
6,3,8,Right-handed,Left leg in first,On your stomach
6,5,8,Right-handed,Left leg in first,On your stomach
4,6,8,Right-handed,Left leg in first,On your stomach
5,6,8,Right-handed,Left leg in first,On your stomach
10,6,8,Right-handed,Left leg in first,On your stomach
3,10,8,Right-handed,Left leg in first,On your stomach
7,10,8,Right-handed,Left leg in first,On your stomach
8,10,8,Right-handed,Left leg in first,On your stomach
8,20,8,Right-handed,Left leg in first,On your stomach
6,4,9,Right-handed,Left leg in first,On your stomach
8,4,9,Right-handed,Left leg in first,On your stomach
3,5,9,Right-handed,Left leg in first,On your stomach
7,5,9,Right-handed,Left leg in first,On your stomach
8,15,9,Right-handed,Left leg in first,On your stomach
8,25,9,Right-handed,Left leg in first,On your stomach
2,8,9.5,Right-handed,Left leg in first,On your stomach
4,5,10,Right-handed,Left leg in first,On your stomach
4,3,5,Left-handed,Right leg in first,On your stomach
4,2,6,Left-handed,Right leg in first,On your stomach
4,3,6,Left-handed,Right leg in first,On your stomach
8,12,6,Left-handed,Right leg in first,On your stomach
5,3,9,Left-handed,Right leg in first,On your stomach
1,3,3,Right-handed,Right leg in first,On your stomach
2,2,5,Right-handed,Right leg in first,On your stomach
6,3,5,Right-handed,Right leg in first,On your stomach
2,1,6,Right-handed,Right leg in first,On your stomach
4,2,6,Right-handed,Right leg in first,On your stomach
6,2,6,Right-handed,Right leg in first,On your stomach
6,2,6,Right-handed,Right leg in first,On your stomach
7,2,6,Right-handed,Right leg in first,On your stomach
3,3,6,Right-handed,Right leg in first,On your stomach
6,3,6,Right-handed,Right leg in first,On your stomach
7,3,6,Right-handed,Right leg in first,On your stomach
7,3,6,Right-handed,Right leg in first,On your stomach
3,4,6,Right-handed,Right leg in first,On your stomach
4,4,6,Right-handed,Right leg in first,On your stomach
5,4,6,Right-handed,Right leg in first,On your stomach
5,5,6,Right-handed,Right leg in first,On your stomach
6,5,6,Right-handed,Right leg in first,On your stomach
6,5,6,Right-handed,Right leg in first,On your stomach
7,5,6,Right-handed,Right leg in first,On your stomach
8,6,6,Right-handed,Right leg in first,On your stomach
5,7,6,Right-handed,Right leg in first,On your stomach
10,9,6,Right-handed,Right leg in first,On your stomach
8,15,6,Right-handed,Right leg in first,On your stomach
4,20,6,Right-handed,Right leg in first,On your stomach
8,20,6,Right-handed,Right leg in first,On your stomach
5,7,6.5,Right-handed,Right leg in first,On your stomach
4,1,7,Right-handed,Right leg in first,On your stomach
5,1,7,Right-handed,Right leg in first,On your stomach
6,1,7,Right-handed,Right leg in first,On your stomach
6,2,7,Right-handed,Right leg in first,On your stomach
6,2,7,Right-handed,Right leg in first,On your stomach
7,2,7,Right-handed,Right leg in first,On your stomach
7,2,7,Right-handed,Right leg in first,On your stomach
7,2,7,Right-handed,Right leg in first,On your stomach
2,3,7,Right-handed,Right leg in first,On your stomach
3,3,7,Right-handed,Right leg in first,On your stomach
4,3,7,Right-handed,Right leg in first,On your stomach
5,3,7,Right-handed,Right leg in first,On your stomach
6,3,7,Right-handed,Right leg in first,On your stomach
7,3,7,Right-handed,Right leg in first,On your stomach
7,3,7,Right-handed,Right leg in first,On your stomach
4,4,7,Right-handed,Right leg in first,On your stomach
4,4,7,Right-handed,Right leg in first,On your stomach
5,4,7,Right-handed,Right leg in first,On your stomach
5,4,7,Right-handed,Right leg in first,On your stomach
5,4,7,Right-handed,Right leg in first,On your stomach
6,4,7,Right-handed,Right leg in first,On your stomach
6,4,7,Right-handed,Right leg in first,On your stomach
7,4,7,Right-handed,Right leg in first,On your stomach
7,4,7,Right-handed,Right leg in first,On your stomach
3,5,7,Right-handed,Right leg in first,On your stomach
4,5,7,Right-handed,Right leg in first,On your stomach
6,5,7,Right-handed,Right leg in first,On your stomach
6,5,7,Right-handed,Right leg in first,On your stomach
7,5,7,Right-handed,Right leg in first,On your stomach
8,5,7,Right-handed,Right leg in first,On your stomach
3,6,7,Right-handed,Right leg in first,On your stomach
8,6,7,Right-handed,Right leg in first,On your stomach
7,7,7,Right-handed,Right leg in first,On your stomach
5,8,7,Right-handed,Right leg in first,On your stomach
7,8,7,Right-handed,Right leg in first,On your stomach
6,9,7,Right-handed,Right leg in first,On your stomach
6,10,7,Right-handed,Right leg in first,On your stomach
6,10,7,Right-handed,Right leg in first,On your stomach
7,10,7,Right-handed,Right leg in first,On your stomach
7,10,7,Right-handed,Right leg in first,On your stomach
8,10,7,Right-handed,Right leg in first,On your stomach
8,10,7,Right-handed,Right leg in first,On your stomach
8,10,7,Right-handed,Right leg in first,On your stomach
9,10,7,Right-handed,Right leg in first,On your stomach
3,12,7,Right-handed,Right leg in first,On your stomach
4,12,7,Right-handed,Right leg in first,On your stomach
5,15,7,Right-handed,Right leg in first,On your stomach
9,15,7,Right-handed,Right leg in first,On your stomach
7,16,7,Right-handed,Right leg in first,On your stomach
6,20,7,Right-handed,Right leg in first,On your stomach
9,30,7,Right-handed,Right leg in first,On your stomach
8,40,7,Right-handed,Right leg in first,On your stomach
8,3,7.5,Right-handed,Right leg in first,On your stomach
8,3,7.5,Right-handed,Right leg in first,On your stomach
6,15,7.5,Right-handed,Right leg in first,On your stomach
2,1,8,Right-handed,Right leg in first,On your stomach
4,1,8,Right-handed,Right leg in first,On your stomach
5,2,8,Right-handed,Right leg in first,On your stomach
3,3,8,Right-handed,Right leg in first,On your stomach
7,3,8,Right-handed,Right leg in first,On your stomach
8,3,8,Right-handed,Right leg in first,On your stomach
7,4,8,Right-handed,Right leg in first,On your stomach
1,5,8,Right-handed,Right leg in first,On your stomach
3,5,8,Right-handed,Right leg in first,On your stomach
6,5,8,Right-handed,Right leg in first,On your stomach
6,5,8,Right-handed,Right leg in first,On your stomach
6,5,8,Right-handed,Right leg in first,On your stomach
7,5,8,Right-handed,Right leg in first,On your stomach
4,6,8,Right-handed,Right leg in first,On your stomach
7,6,8,Right-handed,Right leg in first,On your stomach
7,6,8,Right-handed,Right leg in first,On your stomach
8,6,8,Right-handed,Right leg in first,On your stomach
8,6,8,Right-handed,Right leg in first,On your stomach
7,7,8,Right-handed,Right leg in first,On your stomach
7,7,8,Right-handed,Right leg in first,On your stomach
5,8,8,Right-handed,Right leg in first,On your stomach
8,9,8,Right-handed,Right leg in first,On your stomach
7,10,8,Right-handed,Right leg in first,On your stomach
9,10,8,Right-handed,Right leg in first,On your stomach
5,12,8,Right-handed,Right leg in first,On your stomach
5,15,8,Right-handed,Right leg in first,On your stomach
7,15,8,Right-handed,Right leg in first,On your stomach
8,30,8,Right-handed,Right leg in first,On your stomach
3,4,8.5,Right-handed,Right leg in first,On your stomach
8,5,8.5,Right-handed,Right leg in first,On your stomach
5,7,8.5,Right-handed,Right leg in first,On your stomach
6,4,9,Right-handed,Right leg in first,On your stomach
3,5,9,Right-handed,Right leg in first,On your stomach
5,5,9,Right-handed,Right leg in first,On your stomach
8,5,9,Right-handed,Right leg in first,On your stomach
5,8,9,Right-handed,Right leg in first,On your stomach
8,10,9,Right-handed,Right leg in first,On your stomach
8,25,9,Right-handed,Right leg in first,On your stomach
