Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position
Fourth or above,1,5,8.0,Right-handed,On your stomach
Third,4,2,7.0,Right-handed,On your right side
Second,2,8,6.0,Right-handed,On your left side
First,4,3,6.0,Right-handed,On your left side
First,8,8,6.0,Right-handed,On your left side
First,3,9,6.0,Right-handed,On your left side
Second,4,2,6.0,Left-handed,On your stomach
First,8,10,8.0,Right-handed,On your stomach
Second,6,20,7.0,Right-handed,On your stomach
Second,3,15,6.0,Right-handed,On your left side
Second,4,14,7.0,Right-handed,On your left side
Fourth or above,7,10,9.0,Right-handed,On your right side
First,5,6,6.0,Right-handed,On your left side
Third,5,2,6.0,Right-handed,On your back
First,9,20,6.5,Right-handed,On your right side
Second,5,6,6.0,Right-handed,On your right side
First,7,4,7.0,Right-handed,On your right side
Second,5,3,7.0,Right-handed,On your back
Third,6,5,6.0,Right-handed,On your right side
First,9,30,7.0,Right-handed,On your stomach
First,6,5,8.0,Right-handed,On your right side
Third,8,7,6.0,Right-handed,On your left side
First,6,5,7.0,Right-handed,On your left side
First,4,10,7.0,Left-handed,On your right side
Second,7,10,6.0,Right-handed,On your back
Third,5,8,8.0,Right-handed,On your stomach
First,6,6,6.0,Right-handed,On your left side
First,8,8,7.0,Right-handed,On your right side
First,5,2,7.0,Right-handed,On your right side
Second,7,4,8.0,Right-handed,On your stomach
First,8,15,7.5,Right-handed,On your back
First,7,5,6.0,Right-handed,On your right side
Third,5,3,6.0,Right-handed,On your back
First,1,3,7.0,Left-handed,On your left side
Second,3,14,7.0,Right-handed,On your stomach
Third,3,5,9.0,Right-handed,On your back
Third,10,20,5.0,Right-handed,On your right side
Third,3,10,7.5,Right-handed,On your left side
Third,6,5,8.0,Right-handed,On your left side
Second,7,10,8.0,Right-handed,On your stomach
Third,8,8,7.0,Right-handed,On your right side
First,2,3,8.0,Right-handed,On your right side
Second,2,1,8.0,Right-handed,On your stomach
Second,6,10,7.0,Right-handed,On your stomach
Fourth or above,9,10,8.0,Right-handed,On your stomach
Fourth or above,9,3,7.0,Right-handed,On your right side
Second,4,6,7.0,Left-handed,On your left side
Second,6,3,8.0,Right-handed,On your left side
Second,7,30,10.0,Right-handed,On your right side
